time, dry1, wett1, dry2, wett2, sensor1, sensor2, averageinprocent, moisturestartprocent, starthour, endhour, temperature, jobcounter, maxjobs, wateringduration, pauzeduration, lastwateringtime, ValveStatus, watergifttimer, pauzetimer, outputread, errorflag,
0:02:46,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:47,795,435,795,435,97,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:48,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:49,795,435,795,435,97,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:50,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:51,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:52,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:53,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:54,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:55,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:56,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:57,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:58,795,435,795,435,97,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:59,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:00,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:01,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:02,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:03,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:03:04,795,435,795,435,98,100,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
